Date,Close,High,Low,Open,Volume
2018-07-19,2772.54,2805.01,2764.49,2791.02,114500
2018-07-20,2829.27,2837.86,2753.84,2769.75,145900
2018-07-23,2859.54,2863.57,2809.62,2815.2,173400
2018-07-24,2905.56,2911.47,2862.27,2862.27,229600
2018-07-25,2903.65,2912.31,2894.04,2911.45,167800
2018-07-26,2882.23,2915.3,2875.7,2905.79,168400
2018-07-27,2873.59,2889.69,2864.11,2879.69,146400
2018-07-30,2869.05,2896.01,2850.3,2871.94,151700
2018-07-31,2876.4,2884.68,2854.32,2866.9,118900
2018-08-01,2824.53,2897.4,2823.93,2882.51,149500
2018-08-02,2768.02,2815.34,2726.48,2815.34,174200
2018-08-03,2740.44,2777.66,2740.43,2763.4,127000
2018-08-06,2705.16,2760.47,2692.32,2736.53,129800
2018-08-07,2779.37,2779.37,2696.04,2711.74,149600
2018-08-08,2744.07,2779.91,2741.07,2771.13,147700
2018-08-09,2794.38,2801.66,2726.22,2729.58,151700
2018-08-10,2795.31,2806.11,2777.51,2791.4,121500
2018-08-13,2785.87,2789.8,2742.56,2769.02,127500
2018-08-14,2780.97,2789.44,2766.57,2780.74,109600
2018-08-15,2723.26,2777.7,2721.24,2777.25,116200
2018-08-16,2705.19,2732.95,2672.74,2691.43,120300
2018-08-17,2668.97,2730.33,2665.59,2723.89,112400
2018-08-20,2698.47,2698.47,2653.11,2673.07,110800
2018-08-21,2733.83,2739.17,2696.29,2700.34,113600
2018-08-22,2714.61,2731.96,2709.06,2731.96,93700
2018-08-23,2724.62,2736.01,2700.8,2714.87,98400
2018-08-24,2729.43,2748.82,2705.32,2717.08,100500
2018-08-27,2780.9,2780.9,2736.32,2736.32,132800
2018-08-28,2777.98,2791.39,2769.4,2782.29,118700
2018-08-29,2769.29,2778.54,2762.35,2774.86,100200
2018-08-30,2737.74,2780.53,2736.35,2769.33,106100
2018-08-31,2725.25,2744.63,2710.54,2730.11,109800
2018-09-03,2720.73,2722.85,2692.36,2716.4,102200
2018-09-04,2750.58,2756.61,2712.38,2720.65,109000
2018-09-05,2704.34,2745.47,2704.34,2741.38,105000
2018-09-06,2691.59,2719.41,2683.75,2697.58,99000
2018-09-07,2702.3,2728.55,2683.72,2696.68,107500
